                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250312"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      677                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3252700509175644E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3252700509175644E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106719412285E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106719412285E+000                 -5.4878106719541933E+000                 -1.6012816191089886E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778670655381038E+000                  5.7570559871874805E-001                  4.5477182914766234E-001                  3.6746520046860462E+000                  0.0000000000000000E+000                  1.4433664296673003E+001                 -2.7319335794317939E-001                  6.5813749660899585E+000                  6.2123933250042374E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861345E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                       5                                      678                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3388396603425593E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3388396603425593E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106718360016E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.4878106718360016E+000                 -5.4878106718489672E+000                 -1.6012816190755025E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778673707324212E+000                  5.7570684256674065E-001                  4.5477184068302456E-001                  3.6746519816153218E+000                  0.0000000000000000E+000                  1.4433664296716145E+001                 -2.7319335790982252E-001                  6.5813749660997445E+000                  6.2123933250041896E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861345E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      10                                      678                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106715242847E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106715242847E+000                 -5.4878106715372494E+000                 -1.6012816189758801E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778671020642801E+000                  5.7570576518398420E-001                  4.5477183932792853E-001                  3.6746519843255139E+000                  0.0000000000000000E+000                  1.4433664296843018E+001                 -2.7319335781221954E-001                  6.5813749661290259E+000                  6.2123933250040408E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      15                                      678                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106707383951E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106707383951E+000                 -5.4878106707513599E+000                 -1.6012816187242919E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778670106401994E+000                  5.7570539803610243E-001                  4.5477183860214937E-001                  3.6746519857770723E+000                  0.0000000000000000E+000                  1.4433664297161902E+001                 -2.7319335756747276E-001                  6.5813749662031666E+000                  6.2123933250036656E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      20                                      678                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106687724655E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.4878106687724655E+000                 -5.4878106687854302E+000                 -1.6012816180948423E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778669890890052E+000                  5.7570531103009415E-001                  4.5477183820153388E-001                  3.6746519865783034E+000                  0.0000000000000000E+000                  1.4433664297958678E+001                 -2.7319335695649943E-001                  6.5813749663889558E+000                  6.2123933250027297E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      25                                      678                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106638703654E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.4878106638703654E+000                 -5.4878106638833311E+000                 -1.6012816165263732E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778669867683078E+000                  5.7570530070876602E-001                  4.5477183768226437E-001                  3.6746519876168424E+000                  0.0000000000000000E+000                  1.4433664299944745E+001                 -2.7319335543414835E-001                  6.5813749668526524E+000                  6.2123933250003793E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      30                                      678                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637070428E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106516623184E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.4878106516623184E+000                 -5.4878106516752840E+000                 -1.6012816126247206E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778669867749314E+000                  5.7570529824788441E-001                  4.5477183643857660E-001                  3.6746519901042176E+000                  0.0000000000000000E+000                  1.4433664304890769E+001                 -2.7319335164364977E-001                  6.5813749680081166E+000                  6.2123933249945273E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      35                                      678                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3580306554686216E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3580306554686216E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878106212775695E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4878106212775695E+000                 -5.4878106212905351E+000                 -1.6012816029231939E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778669867683593E+000                  5.7570529200494269E-001                  4.5477183333024984E-001                  3.6746519963208715E+000                  0.0000000000000000E+000                  1.4433664317202737E+001                 -2.7319334220888125E-001                  6.5813749708851397E+000                  6.2123933249799490E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861319E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064847E-001                                        0                                        2 
                                      40                                      678                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3318992648215492E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3318992648215492E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4878105456667035E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.4878105456667035E+000                 -5.4878105456796682E+000                 -1.6012815787927430E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778669867391658E+000                  5.7570527641970481E-001                  4.5477182559601803E-001                  3.6746520117893349E+000                  0.0000000000000000E+000                  1.4433664347844838E+001                 -2.7319331872857883E-001                  6.5813749780464796E+000                  6.2123933249436614E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474879E-001                  3.4468833607861305E-003                  9.3805276451495410E-003                  3.4468833607861340E-003                  9.3805276451495393E-003                  9.7999999999999965E-001                  3.9195828331064847E-001                                        0                                        2 
